"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|DE-LU"
"02.01.2022 23:45 - 03.01.2022 00:00","-149.99","EUR"
"03.01.2022 00:00 - 03.01.2022 00:15","192.99","EUR"
"03.01.2022 00:15 - 03.01.2022 00:30","-99.94","EUR"
"03.01.2022 00:30 - 03.01.2022 00:45","60.73","EUR"
"03.01.2022 00:45 - 03.01.2022 01:00","-149.99","EUR"
"03.01.2022 01:00 - 03.01.2022 01:15","34.89","EUR"
"03.01.2022 01:15 - 03.01.2022 01:30","-48.60","EUR"
"03.01.2022 01:30 - 03.01.2022 01:45","56.51","EUR"
"03.01.2022 01:45 - 03.01.2022 02:00","-25.86","EUR"
"03.01.2022 02:00 - 03.01.2022 02:15","35.86","EUR"
"03.01.2022 02:15 - 03.01.2022 02:30","-149.99","EUR"
"03.01.2022 02:30 - 03.01.2022 02:45","10.78","EUR"
"03.01.2022 02:45 - 03.01.2022 03:00","54.70","EUR"
"03.01.2022 03:00 - 03.01.2022 03:15","-67.04","EUR"
"03.01.2022 03:15 - 03.01.2022 03:30","32.86","EUR"
"03.01.2022 03:30 - 03.01.2022 03:45","2.01","EUR"
"03.01.2022 03:45 - 03.01.2022 04:00","16.16","EUR"
"03.01.2022 04:00 - 03.01.2022 04:15","-13.87","EUR"
"03.01.2022 04:15 - 03.01.2022 04:30","10.44","EUR"
"03.01.2022 04:30 - 03.01.2022 04:45","-99.97","EUR"
"03.01.2022 04:45 - 03.01.2022 05:00","36.38","EUR"
"03.01.2022 05:00 - 03.01.2022 05:15","-149.99","EUR"
"03.01.2022 05:15 - 03.01.2022 05:30","-9.87","EUR"
"03.01.2022 05:30 - 03.01.2022 05:45","72.94","EUR"
"03.01.2022 05:45 - 03.01.2022 06:00","77.87","EUR"
"03.01.2022 06:00 - 03.01.2022 06:15","10.42","EUR"
"03.01.2022 06:15 - 03.01.2022 06:30","122.40","EUR"
"03.01.2022 06:30 - 03.01.2022 06:45","174.36","EUR"
"03.01.2022 06:45 - 03.01.2022 07:00","173.12","EUR"
"03.01.2022 07:00 - 03.01.2022 07:15","-99.94","EUR"
"03.01.2022 07:15 - 03.01.2022 07:30","-149.99","EUR"
"03.01.2022 07:30 - 03.01.2022 07:45","499.92","EUR"
"03.01.2022 07:45 - 03.01.2022 08:00","334.08","EUR"
"03.01.2022 08:00 - 03.01.2022 08:15","143.92","EUR"
"03.01.2022 08:15 - 03.01.2022 08:30","143.06","EUR"
"03.01.2022 08:30 - 03.01.2022 08:45","196.27","EUR"
"03.01.2022 08:45 - 03.01.2022 09:00","188.60","EUR"
"03.01.2022 09:00 - 03.01.2022 09:15","155.52","EUR"
"03.01.2022 09:15 - 03.01.2022 09:30","199.74","EUR"
"03.01.2022 09:30 - 03.01.2022 09:45","171.59","EUR"
"03.01.2022 09:45 - 03.01.2022 10:00","155.22","EUR"
"03.01.2022 10:00 - 03.01.2022 10:15","176.53","EUR"
"03.01.2022 10:15 - 03.01.2022 10:30","168.68","EUR"
"03.01.2022 10:30 - 03.01.2022 10:45","167.38","EUR"
"03.01.2022 10:45 - 03.01.2022 11:00","148.88","EUR"
"03.01.2022 11:00 - 03.01.2022 11:15","96.47","EUR"
"03.01.2022 11:15 - 03.01.2022 11:30","148.46","EUR"
"03.01.2022 11:30 - 03.01.2022 11:45","175.45","EUR"
"03.01.2022 11:45 - 03.01.2022 12:00","151.62","EUR"
"03.01.2022 12:00 - 03.01.2022 12:15","162.81","EUR"
"03.01.2022 12:15 - 03.01.2022 12:30","124.20","EUR"
"03.01.2022 12:30 - 03.01.2022 12:45","148.21","EUR"
"03.01.2022 12:45 - 03.01.2022 13:00","134.36","EUR"
"03.01.2022 13:00 - 03.01.2022 13:15","153.08","EUR"
"03.01.2022 13:15 - 03.01.2022 13:30","153.03","EUR"
"03.01.2022 13:30 - 03.01.2022 13:45","100.80","EUR"
"03.01.2022 13:45 - 03.01.2022 14:00","109.84","EUR"
"03.01.2022 14:00 - 03.01.2022 14:15","130.94","EUR"
"03.01.2022 14:15 - 03.01.2022 14:30","94.58","EUR"
"03.01.2022 14:30 - 03.01.2022 14:45","102.97","EUR"
"03.01.2022 14:45 - 03.01.2022 15:00","135.68","EUR"
"03.01.2022 15:00 - 03.01.2022 15:15","143.29","EUR"
"03.01.2022 15:15 - 03.01.2022 15:30","169.01","EUR"
"03.01.2022 15:30 - 03.01.2022 15:45","124.79","EUR"
"03.01.2022 15:45 - 03.01.2022 16:00","130.83","EUR"
"03.01.2022 16:00 - 03.01.2022 16:15","118.83","EUR"
"03.01.2022 16:15 - 03.01.2022 16:30","153.43","EUR"
"03.01.2022 16:30 - 03.01.2022 16:45","206.44","EUR"
"03.01.2022 16:45 - 03.01.2022 17:00","266.51","EUR"
"03.01.2022 17:00 - 03.01.2022 17:15","-0.69","EUR"
"03.01.2022 17:15 - 03.01.2022 17:30","38.34","EUR"
"03.01.2022 17:30 - 03.01.2022 17:45","235.23","EUR"
"03.01.2022 17:45 - 03.01.2022 18:00","255.06","EUR"
"03.01.2022 18:00 - 03.01.2022 18:15","117.55","EUR"
"03.01.2022 18:15 - 03.01.2022 18:30","153.10","EUR"
"03.01.2022 18:30 - 03.01.2022 18:45","212.43","EUR"
"03.01.2022 18:45 - 03.01.2022 19:00","204.63","EUR"
"03.01.2022 19:00 - 03.01.2022 19:15","255.94","EUR"
"03.01.2022 19:15 - 03.01.2022 19:30","151.41","EUR"
"03.01.2022 19:30 - 03.01.2022 19:45","144.24","EUR"
"03.01.2022 19:45 - 03.01.2022 20:00","138.42","EUR"
"03.01.2022 20:00 - 03.01.2022 20:15","885.07","EUR"
"03.01.2022 20:15 - 03.01.2022 20:30","154.36","EUR"
"03.01.2022 20:30 - 03.01.2022 20:45","-144.95","EUR"
"03.01.2022 20:45 - 03.01.2022 21:00","-149.99","EUR"
"03.01.2022 21:00 - 03.01.2022 21:15","153.50","EUR"
"03.01.2022 21:15 - 03.01.2022 21:30","149.22","EUR"
"03.01.2022 21:30 - 03.01.2022 21:45","90.98","EUR"
"03.01.2022 21:45 - 03.01.2022 22:00","104.21","EUR"
"03.01.2022 22:00 - 03.01.2022 22:15","267.15","EUR"
"03.01.2022 22:15 - 03.01.2022 22:30","121.58","EUR"
"03.01.2022 22:30 - 03.01.2022 22:45","83.22","EUR"
"03.01.2022 22:45 - 03.01.2022 23:00","70.02","EUR"
"03.01.2022 23:00 - 03.01.2022 23:15","166.21","EUR"
"03.01.2022 23:15 - 03.01.2022 23:30","112.17","EUR"
"03.01.2022 23:30 - 03.01.2022 23:45","78.39","EUR"
"03.01.2022 23:45 - 04.01.2022 00:00","-13.14","EUR"
"04.01.2022 00:00 - 04.01.2022 00:15","155.51","EUR"
"04.01.2022 00:15 - 04.01.2022 00:30","107.26","EUR"
"04.01.2022 00:30 - 04.01.2022 00:45","73.38","EUR"
"04.01.2022 00:45 - 04.01.2022 01:00","55.06","EUR"
"04.01.2022 01:00 - 04.01.2022 01:15","92.11","EUR"
"04.01.2022 01:15 - 04.01.2022 01:30","77.27","EUR"
"04.01.2022 01:30 - 04.01.2022 01:45","95.60","EUR"
"04.01.2022 01:45 - 04.01.2022 02:00","98.00","EUR"
"04.01.2022 02:00 - 04.01.2022 02:15","129.05","EUR"
"04.01.2022 02:15 - 04.01.2022 02:30","64.06","EUR"
"04.01.2022 02:30 - 04.01.2022 02:45","98.38","EUR"
"04.01.2022 02:45 - 04.01.2022 03:00","79.94","EUR"
"04.01.2022 03:00 - 04.01.2022 03:15","68.12","EUR"
"04.01.2022 03:15 - 04.01.2022 03:30","87.38","EUR"
"04.01.2022 03:30 - 04.01.2022 03:45","102.15","EUR"
"04.01.2022 03:45 - 04.01.2022 04:00","117.90","EUR"
"04.01.2022 04:00 - 04.01.2022 04:15","60.92","EUR"
"04.01.2022 04:15 - 04.01.2022 04:30","81.44","EUR"
"04.01.2022 04:30 - 04.01.2022 04:45","126.64","EUR"
"04.01.2022 04:45 - 04.01.2022 05:00","132.71","EUR"
"04.01.2022 05:00 - 04.01.2022 05:15","65.45","EUR"
"04.01.2022 05:15 - 04.01.2022 05:30","99.78","EUR"
"04.01.2022 05:30 - 04.01.2022 05:45","137.18","EUR"
"04.01.2022 05:45 - 04.01.2022 06:00","171.03","EUR"
"04.01.2022 06:00 - 04.01.2022 06:15","10.18","EUR"
"04.01.2022 06:15 - 04.01.2022 06:30","142.38","EUR"
"04.01.2022 06:30 - 04.01.2022 06:45","200.00","EUR"
"04.01.2022 06:45 - 04.01.2022 07:00","211.05","EUR"
"04.01.2022 07:00 - 04.01.2022 07:15","104.86","EUR"
"04.01.2022 07:15 - 04.01.2022 07:30","177.10","EUR"
"04.01.2022 07:30 - 04.01.2022 07:45","200.00","EUR"
"04.01.2022 07:45 - 04.01.2022 08:00","277.55","EUR"
"04.01.2022 08:00 - 04.01.2022 08:15","199.24","EUR"
"04.01.2022 08:15 - 04.01.2022 08:30","200.00","EUR"
"04.01.2022 08:30 - 04.01.2022 08:45","209.68","EUR"
"04.01.2022 08:45 - 04.01.2022 09:00","209.70","EUR"
"04.01.2022 09:00 - 04.01.2022 09:15","222.18","EUR"
"04.01.2022 09:15 - 04.01.2022 09:30","200.00","EUR"
"04.01.2022 09:30 - 04.01.2022 09:45","200.00","EUR"
"04.01.2022 09:45 - 04.01.2022 10:00","220.69","EUR"
"04.01.2022 10:00 - 04.01.2022 10:15","200.00","EUR"
"04.01.2022 10:15 - 04.01.2022 10:30","200.00","EUR"
"04.01.2022 10:30 - 04.01.2022 10:45","192.99","EUR"
"04.01.2022 10:45 - 04.01.2022 11:00","200.00","EUR"
"04.01.2022 11:00 - 04.01.2022 11:15","199.64","EUR"
"04.01.2022 11:15 - 04.01.2022 11:30","199.67","EUR"
"04.01.2022 11:30 - 04.01.2022 11:45","199.69","EUR"
"04.01.2022 11:45 - 04.01.2022 12:00","187.98","EUR"
"04.01.2022 12:00 - 04.01.2022 12:15","196.13","EUR"
"04.01.2022 12:15 - 04.01.2022 12:30","193.30","EUR"
"04.01.2022 12:30 - 04.01.2022 12:45","181.24","EUR"
"04.01.2022 12:45 - 04.01.2022 13:00","168.28","EUR"
"04.01.2022 13:00 - 04.01.2022 13:15","200.00","EUR"
"04.01.2022 13:15 - 04.01.2022 13:30","200.00","EUR"
"04.01.2022 13:30 - 04.01.2022 13:45","187.93","EUR"
"04.01.2022 13:45 - 04.01.2022 14:00","173.12","EUR"
"04.01.2022 14:00 - 04.01.2022 14:15","177.35","EUR"
"04.01.2022 14:15 - 04.01.2022 14:30","171.35","EUR"
"04.01.2022 14:30 - 04.01.2022 14:45","184.94","EUR"
"04.01.2022 14:45 - 04.01.2022 15:00","182.64","EUR"
"04.01.2022 15:00 - 04.01.2022 15:15","172.07","EUR"
"04.01.2022 15:15 - 04.01.2022 15:30","175.62","EUR"
"04.01.2022 15:30 - 04.01.2022 15:45","200.00","EUR"
"04.01.2022 15:45 - 04.01.2022 16:00","192.70","EUR"
"04.01.2022 16:00 - 04.01.2022 16:15","168.51","EUR"
"04.01.2022 16:15 - 04.01.2022 16:30","186.90","EUR"
"04.01.2022 16:30 - 04.01.2022 16:45","169.97","EUR"
"04.01.2022 16:45 - 04.01.2022 17:00","202.06","EUR"
"04.01.2022 17:00 - 04.01.2022 17:15","192.43","EUR"
"04.01.2022 17:15 - 04.01.2022 17:30","200.00","EUR"
"04.01.2022 17:30 - 04.01.2022 17:45","200.00","EUR"
"04.01.2022 17:45 - 04.01.2022 18:00","212.97","EUR"
"04.01.2022 18:00 - 04.01.2022 18:15","189.92","EUR"
"04.01.2022 18:15 - 04.01.2022 18:30","198.64","EUR"
"04.01.2022 18:30 - 04.01.2022 18:45","200.00","EUR"
"04.01.2022 18:45 - 04.01.2022 19:00","164.46","EUR"
"04.01.2022 19:00 - 04.01.2022 19:15","276.63","EUR"
